Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred
65033.jpg,0.5706758090441163,0.6478940756208005,0.8156235743814316
148089.jpg,0.581593715195385,0.6988577098552814,0.8366333680743047
21077.jpg,0.6957406681178374,0.7716130560636975,0.8837448780623282
41033.jpg,0.7248017465595623,0.7867012199024622,0.8751400014427881
12084.jpg,0.6473034181330611,0.7163047175556656,0.7786027327516928
175043.jpg,0.6112435090351219,0.7618624716685506,0.8056221129133472
376043.jpg,0.5992601493909392,0.71506025416621,0.8334211660899623
299086.jpg,0.7482699807872836,0.7714201728074542,0.8206317695814901
108082.jpg,0.7395170371251821,0.8231288905448291,0.8714511297332259
134035.jpg,0.6383392334993016,0.7828946196740656,0.8305675114490939
38082.jpg,0.6211512983889937,0.7245349934650983,0.8463088753015162
45096.jpg,0.9091724927035608,0.8763285064813245,0.914244200640824
167083.jpg,0.5413031267230747,0.630429622299551,0.8341468015409909
42049.jpg,0.8853852710199385,0.8930353865146804,0.9006236632520294
295087.jpg,0.709845910517264,0.72850807689841,0.8532889042964008
229036.jpg,0.5761227949918173,0.7079356419816948,0.8280702237415692
89072.jpg,0.6714901781810395,0.7527211697239231,0.8154907877811999
285079.jpg,0.6344283962980359,0.7366283646425988,0.8140378416702189
69020.jpg,0.6079202720885605,0.6998545075264667,0.8587911812836374
219090.jpg,0.7387725387028589,0.7873927326903662,0.8949354287510801
103070.jpg,0.7958295611910894,0.858941775553884,0.8871713708431889
156065.jpg,0.6052268064101116,0.6820980041976239,0.8448022408937114
210088.jpg,0.8242027223209858,0.8604603972065638,0.8475756442617092
38092.jpg,0.7145152993530943,0.7758024844581503,0.8717497971290045
197017.jpg,0.7037007270740876,0.7498775586695761,0.8785806688444492
159008.jpg,0.7582066735358332,0.8381157283959667,0.8638812230911407
306005.jpg,0.7745961917741248,0.813164544040943,0.8816726079569867
241004.jpg,0.8138164615154971,0.8348627383845977,0.9068721689112779
296007.jpg,0.7348917288691372,0.7560112524678978,0.8621142286236351
85048.jpg,0.6496992089630615,0.7620335659334555,0.86620919727972
14037.jpg,0.8549486336819393,0.8640550345597037,0.9112556387824062
208001.jpg,0.6684150490409854,0.729304165747731,0.8132530043831601
143090.jpg,0.8556132507580818,0.8471288144698118,0.8940405358894982
157055.jpg,0.7308584542404905,0.8060182246309711,0.857212347019027
106024.jpg,0.8645039238601949,0.8819495962991786,0.9280657420066308
182053.jpg,0.7287694091355208,0.8002483729089503,0.884111714029569
37073.jpg,0.7512688658341543,0.7822843438110166,0.8568414987259979
130026.jpg,0.6546735834216207,0.7429410986619632,0.8681815800778475
361010.jpg,0.7404238908123477,0.8026111023456021,0.8752073679618838
227092.jpg,0.7955268908250952,0.8142425254805407,0.8789502168736814
163085.jpg,0.7670830307229988,0.7984293015752902,0.8534170506464251
241048.jpg,0.6270273741576141,0.7108397997993657,0.8767196815909514
86068.jpg,0.5595818829933914,0.6382309898055936,0.8157130192299332
3096.jpg,0.9361468750917314,0.9040807076651917,0.9114210987186272
147091.jpg,0.7758501880188285,0.7824100666641637,0.8644966765868363
220075.jpg,0.7981766436784818,0.8533314934164343,0.8761403012012817
42012.jpg,0.7851818072847596,0.8510685834107555,0.8899541572543445
304074.jpg,0.6370545924008524,0.7403044002097289,0.8471059823165167
175032.jpg,0.41684454963691886,0.5640256981735696,0.7651077189368435
78004.jpg,0.6999026987498089,0.7629675446429226,0.8398198442605335
123074.jpg,0.7528279611984249,0.8511244062553773,0.8714770448614887
33039.jpg,0.608134521117192,0.7596078088566872,0.8145733821884321
296059.jpg,0.7617240095407828,0.7906121541846294,0.8804591701981113
69040.jpg,0.5715394011575451,0.717560811237243,0.8044532309466451
41069.jpg,0.4687016411756839,0.5930468763658614,0.817364166830239
145086.jpg,0.6776122029942812,0.6892808158375398,0.8367145724856352
58060.jpg,0.5562527099961406,0.6366037139306796,0.8014870996124283
102061.jpg,0.7955870185319176,0.823225090346965,0.891203864764783
236037.jpg,0.6058413441997171,0.7390131912336058,0.8349302948685288
97033.jpg,0.6680530780353132,0.7696464739498103,0.8690748718668478
43074.jpg,0.7739385857694088,0.8036062550806452,0.8555060682092052
16077.jpg,0.7194783752845343,0.786079521292225,0.8798370454461771
260058.jpg,0.7238143724076206,0.7662905456182343,0.8587674694364124
351093.jpg,0.6577767991553114,0.7437026026446142,0.8795062085595728
253055.jpg,0.7899516826194165,0.802481692461214,0.8931160961710956
271035.jpg,0.6994704615862227,0.780682915947303,0.8520339353027514
302008.jpg,0.8746996946275516,0.8998217970031304,0.8859901174406307
148026.jpg,0.5952490093954171,0.7072481070981897,0.7855194444571602
109053.jpg,0.7563611213950591,0.8271135535647121,0.8714650949099765
62096.jpg,0.7002898863393693,0.7683346183789564,0.8815062005019412
216081.jpg,0.6875899004149453,0.726412726920377,0.8509829584799772
189080.jpg,0.8611872263912356,0.8641470145070557,0.911014290987107
108005.jpg,0.6609881124407605,0.7754142691220407,0.8288456379364454
385039.jpg,0.6676974699209648,0.7283754323916147,0.8662520848186066
119082.jpg,0.6566194737746339,0.7510557651810092,0.8633686931028658
19021.jpg,0.7097573556726001,0.7894377112007049,0.858946093705948
54082.jpg,0.7024315604042465,0.7447571534352692,0.862600133285054
86000.jpg,0.7120316229405099,0.7496442118182588,0.8380422028592882
167062.jpg,0.8287397249568027,0.8452946599802887,0.9207751642583254
55073.jpg,0.5260855234021504,0.6301660660886004,0.8203407754067807
101085.jpg,0.6096408582724132,0.7104924264713864,0.8533804757478617
76053.jpg,0.6431504458876338,0.7185207199808898,0.8311151834586207
223061.jpg,0.6258820693845207,0.7360460369009291,0.8429454942889572
101087.jpg,0.8001541363683017,0.8299743108707837,0.9032397785685701
8023.jpg,0.7824296877946469,0.8662972264681832,0.8535540112633244
291000.jpg,0.4493787752168162,0.5520878026206281,0.7986524849402387
160068.jpg,0.7987624092038512,0.8484970171149911,0.881809590058238
196073.jpg,0.4668230605359449,0.5358642714898182,0.7945949548683484
86016.jpg,0.32969501660360506,0.45466461652569246,0.7640085712277678
87046.jpg,0.7228508456972745,0.8297719382845147,0.8621153386565782
105025.jpg,0.7082051552778225,0.788841767913023,0.8841665304884709
300091.jpg,0.7689584254195995,0.8032879453602871,0.906800457585412
69015.jpg,0.7644229010842972,0.8165329046005536,0.8599819149110638
253027.jpg,0.6210256949503511,0.7115603170575108,0.826496638254966
108070.jpg,0.5566648952376272,0.671225546430999,0.8183200290380857
24077.jpg,0.7610517016934457,0.843510938206681,0.8721067973647418
126007.jpg,0.7870612018110527,0.8148151824715777,0.8891241484414646
304034.jpg,0.623052396950731,0.7537630018278212,0.8311561962015054
170057.jpg,0.7491669472638603,0.827985133450904,0.8280044733604646
66053.jpg,0.6435395745652263,0.7277460282257916,0.8522450238520185
